n_estimators,min_samples_split,mean_test_score
100,2,0.8366215988925199
200,2,0.8368791370404957
100,5,0.8414269550053305
200,5,0.8417670650937227
100,2,0.7479179777631353
200,2,0.7482987120944294
100,5,0.7482195455595184
200,5,0.749557613170585
100,2,0.8364921590940912
200,2,0.8369622170963412
100,5,0.8354629464554684
200,5,0.8358913442478568
